22,1,1.8,0.2,6,213.36
32,11,5.1,1.8,67,210.82
32,7.1,1.4,1.5,66,190.5
32,9.8,6.5,1.3,26,210.82
30,8.2,4.8,1.5,52,210.82
19,1.3,0.3,0,8,205.74
33,4.5,1.7,3.4,53,190.5
33,9.2,4.5,1.7,57,210.82
23,2.2,1.6,0.2,29,213.36
33,6.4,1.7,1.2,68,190.5
31,5.6,3.3,0.8,36,210.82
24,5.9,1.5,2.1,81,185.42
23,3.4,3.3,0.8,31,208.28
33,2.6,2.7,0.7,53,210.82
20,0.5,0.3,0.2,6,205.74
34,2.7,1,2.3,23,190.5
24,4.4,4.3,0.7,57,213.36
34,6.3,1.6,1.2,67,190.5
34,9.1,4.2,1,67,210.82
32,4.9,2.8,0.5,8,210.82
25,2.5,0.8,0.9,40,185.42
21,1.6,1.1,0.4,9,205.74
24,4.8,4.7,0.6,66,205.74
34,1.3,1.9,0.7,14,210.82
23,3.3,1,2.1,65,190.5
27,15.4,5.2,3.8,76,200.66
24,9.1,2.1,3.4,76,190.5
28,12,4.4,3.4,82,200.66
25,7.9,2.9,5.5,40,190.5
29,9,2,2,44,200.66
24,3.7,2.6,0.2,56,213.36
26,8.6,2.2,4.9,56,190.5
30,6.5,2.4,1.7,82,200.66
23,4.6,4,0.4,74,208.28
31,9.6,4,3.2,82,200.66
27,15.6,3.2,7.3,70,190.5
25,4.1,2.7,0.2,63,213.36
24,8.5,5.6,0.4,82,210.82
32,7.9,4.7,3.5,82,200.66
28,17.9,3.1,7.7,82,190.5
26,9.7,6.1,1.3,62,213.36
29,17.8,2.9,7.3,82,190.5
27,7.1,4.7,0.5,42,213.36
33,9,4.3,3.3,76,200.66
25,10.3,8.8,1.1,82,210.82
26,13.6,10.3,1,82,210.82
34,4.8,2.7,2.6,38,200.66
30,14.5,3,8.8,78,190.5
31,15.5,3.3,11.5,75,190.5
27,11.7,8.9,1.3,23,210.82
28,9.2,9.5,0.7,82,210.82
32,18.8,4.2,10.5,79,190.5
33,18.6,3.5,11.6,76,190.5
29,6.5,6.1,0.4,81,210.82
25,3.5,3.9,0.1,24,205.74
30,1.8,2.9,0.2,31,210.82
34,16.9,3.5,11.1,81,190.5
35,15.7,3,9.7,74,190.5
31,2.9,4,0.4,55,210.82
26,2.2,3,0.4,65,205.74
27,2.7,3.1,0.2,80,205.74
32,2.1,3.4,0,36,210.82
36,16.5,3.3,11,81,190.5
37,14.7,3.5,11.4,75,190.5
28,2,3.5,0.3,75,205.74
33,1.9,3.4,0.2,18,210.82
34,1.2,3.3,0.2,34,210.82
20,2,0.9,1.2,29,190.5
21,8.2,6.5,0.5,60,205.74
38,12.5,3,10.7,62,190.5
29,3.4,3.9,0.1,64,205.74
21,4.5,1.9,1.9,28,190.5
23,7.8,3.4,0.6,75,205.74
30,1.4,1.9,0.2,62,205.74
24,1.3,1.1,0.2,32,213.36
22,11.7,9.4,1.3,82,205.74
39,12.7,2.8,6.7,50,190.5
21,4.2,3,0.3,52,203.2
24,5.7,3.4,0.3,76,205.74
23,8.7,5.2,1.6,70,213.36
31,0.8,1.2,0.1,33,205.74
22,5,1.6,1.7,68,190.5
40,6.8,1.9,5.7,15,190.5
25,5.4,3.9,0.8,65,213.36
23,11.7,9.2,0.9,82,205.74
21,4.4,1.2,0.9,73,198.12
22,5.2,3.8,0.8,57,203.2
20,16.9,4.6,2.1,82,203.2
25,4.9,2.1,0.6,40,205.74
22,0.7,0.3,0.3,3,226.06
20,3.7,1.1,2.2,33,190.5
24,8.5,8,0.5,82,205.74
26,4.6,3.5,0.8,67,213.36
32,1.8,1.9,0.1,49,205.74
24,10.3,4.7,1.7,64,213.36
23,6.8,2.4,2.4,79,190.5
23,3.1,1.7,0.3,29,210.82
26,6.9,3.6,0.4,56,205.74
21,20.7,3.6,2,81,203.2
22,8.5,2.5,1.9,73,198.12
25,10,4.1,1.5,69,213.36
21,4.5,1.6,2.1,46,190.5
25,7.8,9,0.8,82,205.74
27,3.5,2.9,0.6,25,213.36
24,8.5,2.6,3.1,80,190.5
23,1.5,1.2,0,19,203.2
33,0.9,1.1,0.1,19,205.74
24,5.8,4,0.6,69,210.82
24,0.9,0.7,0.1,14,208.28
26,9,4.8,2,75,213.36
22,4.3,0.8,1.6,53,190.5
26,8.1,9.2,1,78,205.74
23,9.5,2.8,2.4,80,198.12
25,9.3,2.9,3.3,80,190.5
24,5,3.4,0.5,23,203.2
22,23.6,4,2.3,82,203.2
27,2.6,1.6,0.3,38,205.74
20,9.9,2.6,2.1,82,193.04
34,1.3,1.6,0.2,19,205.74
25,6.7,4,0.6,77,210.82
23,4.8,1.4,0,5,215.9
26,5.1,3.6,0.8,27,210.82
24,5.6,2,0.4,55,215.9
25,4.4,1.9,0.2,41,215.9
22,13.5,8.2,1.7,82,226.06
27,0.8,0.8,0.3,12,210.82
26,2.9,1.1,0.1,16,215.9
23,17.5,9,1.5,82,228.6
28,1.1,1.1,0.1,7,210.82
24,18.3,8.4,0.8,80,228.6
27,2.2,0.9,0.3,20,215.9
25,22.3,10.2,1.5,57,228.6
26,25,9.4,2,48,228.6
27,22,10.8,2.3,55,228.6
20,8.6,5.2,0.8,66,213.36
21,8.6,5.3,1,61,213.36
28,19.7,9.9,1.8,77,228.6
22,12,7.2,0.9,52,213.36
23,5.6,3.9,0.4,63,213.36
30,10.2,5.4,0.8,5,228.6
24,2.6,1.6,0.2,30,213.36
28,13.2,4.6,4.5,57,210.82
29,13.3,4.4,4.2,74,210.82
19,1.3,0,0.3,3,218.44
30,18.8,7,5.3,44,210.82
20,1.9,0.9,0.1,14,218.44
31,14.8,4.9,4.7,56,210.82
20,1.3,1.6,0.3,35,215.9
21,3.9,2.1,0.2,11,218.44
32,11.1,4,3.1,65,210.82
21,3.7,3.2,0.5,50,215.9
22,1.5,1,0.1,22,218.44
33,9.9,3.7,3.5,59,210.82
34,11.6,4.2,3.7,63,210.82
23,1.2,1.1,0.3,26,218.44
22,1.9,2,0.4,10,215.9
